sample,productivity_delta,recovery_delta,confidence,warnings
0,6.600000000000001,-1.2899999999999991,74.7,1
1,3.299999999999997,1.9299999999999997,85.0,0
2,-0.5700000000000003,-0.09999999999999432,85.0,0
3,3.8500000000000014,1.0300000000000011,85.0,0
4,3.950000000000003,-5.82,85.0,0
5,0.0,-1.759999999999998,85.0,0
6,-1.6199999999999974,4.32,64.5,2
7,4.5,4.450000000000003,64.5,2
8,7.339999999999996,5.950000000000003,74.7,1
9,-5.549999999999997,-0.8900000000000006,85.0,0
10,-1.5300000000000011,4.07,85.0,0
11,2.1499999999999986,-7.0,89.0,0
12,12.07,-0.8200000000000003,85.0,0
13,-15.8,-4.539999999999999,85.0,0
14,6.770000000000003,-2.8999999999999986,74.7,1
15,3.009999999999998,-6.82,85.0,0
16,-1.9200000000000017,-1.3499999999999943,74.7,1
17,12.369999999999997,15.159999999999997,85.0,0
18,-6.810000000000002,-3.239999999999995,85.0,0
19,6.560000000000002,-0.5300000000000011,74.7,1
20,-1.6899999999999977,1.1400000000000006,85.0,0
21,3.8699999999999974,-4.799999999999997,74.7,1
22,4.409999999999997,5.050000000000004,74.7,1
23,3.979999999999997,6.359999999999999,74.7,1
24,-2.289999999999999,-1.6999999999999957,74.7,1
25,-6.350000000000001,-10.769999999999996,89.0,0
26,-5.57,-7.809999999999995,74.7,1
27,-12.829999999999998,-6.039999999999999,85.0,0
28,-6.259999999999998,0.9000000000000057,74.7,1
29,3.960000000000001,7.520000000000003,85.0,0
30,-3.25,0.12000000000000455,85.0,0
31,-10.369999999999997,-2.799999999999997,85.0,0
32,12.560000000000002,10.450000000000003,74.7,1
33,3.6799999999999997,5.990000000000002,85.0,0
34,8.04,7.039999999999999,74.7,1
35,15.39,4.609999999999999,85.0,0
36,-1.8900000000000006,-0.29999999999999716,64.5,2
37,10.689999999999998,13.510000000000005,64.5,2
38,-4.060000000000002,0.35999999999999943,85.0,0
39,-27.34,-12.39,85.0,0
40,0.0,1.4699999999999989,85.0,0
41,-10.46,2.3500000000000014,85.0,0
42,1.4799999999999969,-8.149999999999999,89.0,0
43,21.999999999999993,11.689999999999998,85.0,0
44,3.490000000000002,2.6600000000000037,64.5,2
45,9.969999999999999,11.820000000000007,74.7,1
46,-0.04999999999999716,-0.28999999999999915,74.7,1
47,-13.71,-8.96,89.0,0
48,0.45000000000000284,6.520000000000003,85.0,0
49,9.270000000000003,8.879999999999995,74.7,1
50,14.71,4.630000000000003,85.0,0
51,-0.6499999999999986,2.030000000000001,64.5,2
52,8.990000000000002,4.270000000000003,74.7,1
53,-15.73,-3.479999999999997,74.7,1
54,-5.329999999999998,-5.119999999999997,89.0,0
55,1.0399999999999991,1.5,85.0,0
56,3.039999999999999,1.3599999999999994,64.5,2
57,19.389999999999993,2.8000000000000043,74.7,1
58,5.920000000000002,4.940000000000005,85.0,0
59,-3.8200000000000003,-4.669999999999995,85.0,0
60,-5.420000000000002,-2.229999999999997,85.0,0
61,20.880000000000003,4.480000000000004,85.0,0
62,-2.8999999999999986,-0.6999999999999957,74.7,1
63,4.280000000000001,2.450000000000003,74.7,1
64,12.530000000000001,2.8599999999999994,85.0,0
65,-0.7899999999999991,4.420000000000002,85.0,0
66,18.380000000000003,6.039999999999999,74.7,1
67,1.490000000000002,0.5800000000000054,85.0,0
68,22.119999999999997,4.830000000000005,85.0,0
69,-10.04,-3.25,85.0,0
70,-0.10999999999999943,-2.559999999999995,89.0,0
71,4.200000000000003,-7.159999999999997,85.0,0
72,-0.9399999999999977,-0.14999999999999858,74.7,1
73,-6.810000000000002,2.0500000000000043,85.0,0
74,15.839999999999996,2.6500000000000057,74.7,1
75,14.159999999999997,3.980000000000004,85.0,0
76,10.200000000000003,-3.6799999999999997,74.7,1
77,-8.910000000000004,-0.6199999999999974,74.7,1
78,-1.8699999999999974,2.1799999999999997,85.0,0
79,-5.770000000000003,-7.289999999999999,85.0,0
